Prøve ID,,Sample g,,Sed. G,,Vol. Sed,,Vol. H2O,,Vol. Ice,,Sed/V Wa,,Sed/V Ice,,SedT/m3,,T/km3
21 A,,582.29,,39.0727,,14.74441509,,543.2173,,618.3191929,,71.92830567,,63.19179552,,0.06319179552,,63191795.52
21 B,,828.27,,19.1819,,7.23845283,,809.0881,,906.2252306,,23.7080486,,21.16681301,,0.02116681301,,21166813.01
21 C,,793.6,,0.1011,,0.0381509434,,793.4989,,881.7035954,,0.1274103846,,0.1146643844,,0.0001146643844,,114664.3844
20 A,,683.62,,0.0046,,0.001735849057,,683.6154,,759.5744025,,0.006728929746,,0.006056022932,,0.000006056022932,,6056.022932
20 B,,682.02,,0.0091,,0.003433962264,,682.0109,,757.7933229,,0.01334289525,,0.01200855131,,0.00001200855131,,12008.55131
20 C,,505.52,,0.0055,,0.002075471698,,505.5145,,561.6848532,,0.01088000443,,0.009791967806,,0.000009791967806,,9791.967806
19 A,,419.68,,0.0034,,0.001283018868,,419.6766,,466.3086164,,0.008101476232,,0.007291308547,,0.000007291308547,,7291.308547
19 B,,688.7,,0.0019,,0.0007169811321,,688.6981,,765.2208281,,0.002758828578,,0.002482943394,,0.000002482943394,,2482.943394
19 C,,710.5,,0.0011,,0.0004150943396,,710.4989,,789.4436373,,0.001548207886,,0.001393386365,,0.000001393386365,,1393.386365
18 A,,1304.35,,0.0248,,0.009358490566,,1304.3252,,1449.259581,,0.01901366316,,0.01711218634,,0.00001711218634,,17112.18634
18 B,,1213.28,,0.0325,,0.01226415094,,1213.2475,,1348.065042,,0.02678760929,,0.02410862903,,0.00002410862903,,24108.62903
18 C,,923.2,,0.0513,,0.01935849057,,923.1487,,1025.740136,,0.05557067892,,0.05001266713,,0.00005001266713,,50012.66713
17 A,,533.71,,11.0588,,4.173132075,,522.6512,,584.8966876,,21.1590445,,18.90727069,,0.01890727069,,18907270.69
17 B,,572.35,,4.6108,,1.739924528,,567.7392,,632.5612579,,8.121334585,,7.28909642,,0.00728909642,,7289096.42
17 C,,958.08,,10.948,,4.131320755,,947.132,,1056.50021,,11.55910686,,10.36251569,,0.01036251569,,10362515.69
16 A,,627.68,,46.5479,,17.56524528,,581.1321,,663.2675786,,80.09865571,,70.17967032,,0.07017967032,,70179670.32
16 B,,469.61,,24.4028,,9.208603774,,445.2072,,503.8832704,,54.81223125,,48.42947054,,0.04842947054,,48429470.54
16 C,,544.45,,46.2689,,17.45996226,,498.1811,,570.9945178,,92.87566309,,81.0321265,,0.0810321265,,81032126.5
15 A,,683.14,,0.0046,,0.001735849057,,683.1354,,759.0410692,,0.006733657779,,0.006060278141,,0.000006060278141,,6060.278141
15 B,,579.3,,0.006,,0.002264150943,,579.294,,643.6622642,,0.01035743508,,0.009321658786,,0.000009321658786,,9321.658786
15 C,,1276.39,,0.0086,,0.003245283019,,1276.3814,,1418.204801,,0.006737797965,,0.006064004293,,0.000006064004293,,6064.004293
14 A,,963.88,,0.265,,0.1,,963.615,,1070.783333,,0.2750060968,,0.2474823727,,0.0002474823727,,247482.3727
14 B,,896.58,,0.0948,,0.03577358491,,896.4852,,996.1304403,,0.1057463079,,0.09516825927,,0.00009516825927,,95168.25927
14 C,,137.86,,0.4363,,0.1646415094,,137.4237,,152.8576415,,3.174852664,,2.854289754,,0.002854289754,,2854289.754
13 A,,714.82,,2.6542,,1.001584906,,712.1658,,792.2969182,,3.726941114,,3.35000672,,0.00335000672,,3350006.72
13 B,,680.49,,2.3696,,0.8941886792,,678.1204,,754.3612998,,3.494364718,,3.141200378,,0.003141200378,,3141200.378
13 C,,1276.7,,3.8972,,1.470641509,,1272.8028,,1415.695975,,3.061904012,,2.752850943,,0.002752850943,,2752850.943
 12 A,,806.94,,0.0044,,0.001660377358,,806.9356,,896.5967715,,0.005452727578,,0.004907445732,,0.000004907445732,,4907.445732
12 B,,769.34,,0.0084,,0.003169811321,,769.3316,,854.8160587,,0.01091856879,,0.009826675475,,0.000009826675475,,9826.675475
12 C,,558.93,,0.0055,,0.002075471698,,558.9245,,621.0292977,,0.009840327271,,0.008856264947,,0.000008856264947,,8856.264947
 11 A,,454.92,,0.0186,,0.007018867925,,454.9014,,505.4530189,,0.04088798144,,0.03679867229,,0.00003679867229,,36798.67229
11 B,,496.97,,0.0017,,0.000641509434,,496.9683,,552.1876415,,0.003420741323,,0.003078663614,,0.000003078663614,,3078.663614
11 C ,,582.69,,0.0013,,0.0004905660377,,582.6887,,647.4323795,,0.002231036916,,0.002007931703,,0.000002007931703,,2007.931703
 10 A,,719.54,,1.5639,,0.5901509434,,717.9761,,798.3413732,,2.17820621,,1.958936431,,0.001958936431,,1958936.431
10 B,,906.86,,8.4631,,3.193622642,,898.3969,,1001.4124,,9.420223957,,8.451163573,,0.008451163573,,8451163.573
10 C,,698.84,,0.6552,,0.247245283,,698.1848,,776.0081342,,0.9384334921,,0.8443210466,,0.0008443210466,,844321.0466
 9 A,,771.44,,0.1917,,0.07233962264,,771.2483,,857.0148952,,0.2485580843,,0.2236833935,,0.0002236833935,,223683.3935
9 B,,1042.21,,4.3904,,1.656754717,,1037.8196,,1154.789644,,4.230407674,,3.80190455,,0.00380190455,,3801904.55
9 C,,855.09,,0.3091,,0.1166415094,,854.7809,,949.8731971,,0.3616131338,,0.325411856,,0.000325411856,,325411.856
8A,,643.07,,0.0171,,0.006452830189,,643.0529,,714.5096751,,0.02659190247,,0.02393249608,,0.00002393249608,,23932.49608
8 B,,848.03,,0.0057,,0.002150943396,,848.0243,,942.2513732,,0.006721505504,,0.006049341144,,0.000006049341144,,6049.341144
8 C,,668.02,,0.0023,,0.0008679245283,,668.0177,,742.2427568,,0.003443022543,,0.003098716665,,0.000003098716665,,3098.716665
7A,,748.59,,47.9786,,18.10513208,,700.6114,,796.5622432,,68.48104384,,60.23207905,,0.06023207905,,60232079.05
7B,,607.98,,192.8263,,72.76464151,,415.1537,,534.0465304,,464.4696651,,361.0664783,,0.3610664783,,361066478.3
7C,,646.84,,0.9345,,0.3526415094,,645.9055,,718.0254193,,1.446806073,,1.301485957,,0.001301485957,,1301485.957
6A,,892.45,,0.0025,,0.0009433962264,,892.4475,,991.6092767,,0.00280128523,,0.002521154308,,0.000002521154308,,2521.154308
6B,,52.49,,0,,0,,52.49,,58.32222222,,0,,0,,0,,0
6C,,857.02,,0.0001,,0.00003773584906,,857.0199,,952.2443711,,0.0001166834049,,0.0001050150602,,0.0000001050150602,,105.0150602
5A,,560.61,,5.0284,,1.897509434,,555.5816,,619.2103983,,9.050695703,,8.120664662,,0.008120664662,,8120664.662
5B,,854.46,,0.0193,,0.007283018868,,854.4407,,949.3858386,,0.02258787532,,0.02032893184,,0.00002032893184,,20328.93184
5C,,889.23,,0.0529,,0.01996226415,,889.1771,,987.9945178,,0.05949321007,,0.05354280722,,0.00005354280722,,53542.80722
4A,,861.55,,0.0221,,0.008339622642,,861.5279,,957.2615618,,0.02565210018,,0.02308668903,,0.00002308668903,,23086.68903
4B,,925.18,,0.0025,,0.0009433962264,,925.1775,,1027.975943,,0.002702184175,,0.002431963526,,0.000002431963526,,2431.963526
4C,,863.19,,0.003,,0.001132075472,,863.187,,959.0977987,,0.003475492564,,0.003127939616,,0.000003127939616,,3127.939616
3A,,469.39,,1.1429,,0.4312830189,,468.2471,,520.7058386,,2.440805293,,2.194905291,,0.002194905291,,2194905.291
3B,,875.89,,1.7756,,0.6700377358,,874.1144,,971.90826,,2.031313064,,1.826921401,,0.001826921401,,1826921.401
3C,,763.89,,41.5024,,15.66128302,,722.3876,,818.3141719,,57.45170598,,50.71695129,,0.05071695129,,50716951.29
2A,,818.39,,0.1872,,0.07064150943,,818.2028,,909.1848637,,0.2287941327,,0.2058987203,,0.0002058987203,,205898.7203
2B,,701.09,,0.0114,,0.004301886792,,701.0786,,778.9805241,,0.01626065893,,0.01463451222,,0.00001463451222,,14634.51222
2C,,434.11,,0.0114,,0.004301886792,,434.0986,,482.3360797,,0.02626131483,,0.02363497254,,0.00002363497254,,23634.97254
1A,,851.19,,0.0008,,0.0003018867925,,851.1892,,945.7660797,,0.000939861549,,0.0008458751241,,0.0000008458751241,,845.8751241
1B,,781.09,,0.0017,,0.000641509434,,781.0883,,867.8765304,,0.002176450473,,0.001958803978,,0.000001958803978,,1958.803978
1C,,760.59,,0.0005,,0.0001886792453,,760.5895,,845.0996331,,0.0006573848311,,0.0005916462159,,0.0000005916462159,,591.6462159
SE3.1,,672.46,,0.0194,,0.007320755,,672.4406,,747.163543,,0.028850132,,0.025964864,,0.000025964864,,25964.864
SE3.2,,870.26,,0.0381,,0.014377358,,870.2219,,966.9275996,,0.043781937,,0.039403157,,0.000039403157,,39403.157
SE3.3,,616.94,,0.0178,,0.006716981,,616.9222,,685.4758281,,0.028852909,,0.025967364,,0.000025967364,,25967.364
SE1.1,,709.32,,0.0189,,0.007132075,,709.3011,,788.1194654,,0.026645948,,0.023981136,,0.000023981136,,23981.136
SE1.2,,784.31,,0.0177,,0.006679245,,784.2923,,871.4425681,,0.022568117,,0.020311149,,0.000020311149,,20311.149
SE1.3,,973.97,,0.0149,,0.005622642,,973.9551,,1082.177956,,0.015298447,,0.01376853,,0.00001376853,,13768.53
"SE2,1",,1067.48,,0.172,,0.06490566,,1067.308,,1185.962683,,0.161153107,,0.145029858,,0.000145029858,,145029.858
,,587.55,,0.011,,0.004150943,,587.539,,652.8252621,,0.018722161,,0.016849838,,0.000016849838,,16849.838
SE2.2,,1753.36,,0.0954,,0.036,,1753.2646,,1948.107778,,0.054412779,,0.048970597,,0.000048970597,,48970.597
,,709.5,,0.0313,,0.011811321,,709.4687,,788.3103669,,0.044117521,,0.039705174,,0.000039705174,,39705.174
SE2.3,,1071.95,,0.0304,,0.011471698,,1071.9196,,1191.033249,,0.028360336,,0.025524057,,0.000025524057,,25524.057